Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 28, 2021",$334.36,$354.84,$302.17,$344.87,"$595,665,679","$4,282,630,708"
"Feb 27, 2021",$323.38,$349.18,$323.38,$334.36,"$400,236,069","$4,151,558,856"
"Feb 26, 2021",$338.28,$350.87,$305.15,$323.11,"$549,178,299","$4,011,295,609"
"Feb 25, 2021",$367.22,$384.71,$337.50,$337.50,"$450,643,581","$4,189,244,710"
"Feb 24, 2021",$360.21,$402.91,$344.94,$367.23,"$763,533,886","$4,557,746,908"
"Feb 23, 2021",$400.78,$401.65,$288.71,$359.50,"$1,179,704,137","$4,461,394,531"
"Feb 22, 2021",$435.88,$444.67,$361.84,$400.88,"$924,414,232","$4,974,530,206"
"Feb 21, 2021",$441.28,$451.37,$427.25,$435.85,"$555,957,722","$5,407,627,357"
"Feb 20, 2021",$421.83,$489.75,$409.90,$442.02,"$1,512,350,119","$5,482,898,403"
"Feb 19, 2021",$440.50,$444.42,$407.32,$422.24,"$667,057,562","$5,230,359,731"
"Feb 18, 2021",$449.05,$476.66,$435.79,$440.51,"$577,451,189","$5,456,652,071"
"Feb 17, 2021",$431.42,$455.55,$401.54,$449.60,"$1,095,918,428","$5,569,245,761"
"Feb 16, 2021",$454.71,$477.64,$423.50,$431.53,"$927,532,562","$5,345,408,015"
"Feb 15, 2021",$470.92,$494.32,$401.60,$455.61,"$1,153,106,183","$5,643,744,346"
"Feb 14, 2021",$494.71,$508.75,$462.44,$471.61,"$685,293,986","$5,841,937,065"
"Feb 13, 2021",$529.83,$542.14,$491.65,$494.56,"$783,556,570","$6,124,959,579"
"Feb 12, 2021",$517.91,$542.94,$502.34,$529.90,"$822,757,465","$6,558,682,804"
"Feb 11, 2021",$516.33,$532.94,$504.78,$518.07,"$836,675,656","$6,409,555,495"
"Feb 10, 2021",$487.70,$559.12,$486.48,$517.97,"$1,880,615,394","$6,404,109,769"
"Feb 09, 2021",$490.01,$505.94,$475.65,$488.00,"$1,165,494,592","$6,030,579,943"
"Feb 08, 2021",$461.80,$529.14,$458.58,$490.34,"$1,711,240,053","$6,057,557,720"
"Feb 07, 2021",$472.60,$479.96,$399.00,$461.51,"$1,373,619,548","$5,700,023,387"
"Feb 06, 2021",$506.39,$509.15,$443.63,$472.33,"$1,485,662,684","$5,832,334,571"
"Feb 05, 2021",$465.21,$534.41,$463.89,$506.77,"$1,511,505,451","$6,253,059,939"
"Feb 04, 2021",$366.33,$506.81,$366.33,$466.48,"$2,838,572,596","$5,754,281,219"
"Feb 03, 2021",$301.10,$367.79,$300.03,$365.60,"$1,083,942,425","$4,506,679,201"
"Feb 02, 2021",$295.75,$303.16,$285.17,$301.12,"$752,215,470","$3,711,117,724"
"Feb 01, 2021",$300.04,$306.99,$285.57,$295.66,"$639,510,002","$3,643,317,248"
"jan. 31, 2021",$313.89,$317.19,$293.56,$300.06,"$539,565,885","$3,697,226,540"
"jan. 30, 2021",$286.97,$316.14,$283.09,$313.09,"$805,008,934","$3,854,426,677"
"jan. 29, 2021",$292.27,$306.12,$272.62,$286.90,"$1,050,249,645","$3,530,265,420"
"jan. 28, 2021",$282.19,$305.43,$274.75,$297.41,"$874,888,872","$3,658,821,334"
"jan. 27, 2021",$272.68,$290.40,$257.25,$282.44,"$1,111,051,096","$3,473,257,311"
"jan. 26, 2021",$249.20,$281.72,$241.93,$272.36,"$1,081,042,278","$3,345,908,147"
"jan. 25, 2021",$264.26,$281.03,$240.26,$249.74,"$1,081,208,271","$3,066,479,751"
"jan. 24, 2021",$210.61,$285.43,$210.61,$264.85,"$1,241,700,330","$3,251,074,104"
"jan. 23, 2021",$187.97,$216.93,$184.76,$210.37,"$564,323,080","$2,581,064,746"
