Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 28, 2021",$1.32,$1.36,$1.17,$1.31,"$15,732,556,180","$40,696,967,235"
"Feb 27, 2021",$1.24,$1.48,$1.23,$1.32,"$19,141,980,288","$41,219,695,427"
"Feb 26, 2021",$1.08,$1.29,$9.951,$1.24,"$14,884,142,109","$38,613,872,246"
"Feb 25, 2021",$1.05,$1.17,$1.02,$1.08,"$8,248,286,269","$33,573,986,145"
"Feb 24, 2021",$9.550,$1.07,$9.026,$1.05,"$8,481,334,623","$32,719,650,909"
"Feb 23, 2021",$1.10,$1.13,$8.241,$9.547,"$11,201,900,117","$29,703,373,313"
"Feb 22, 2021",$1.10,$1.13,$8.515,$1.10,"$10,562,051,439","$34,197,312,215"
"Feb 21, 2021",$1.12,$1.15,$1.08,$1.10,"$7,042,361,464","$34,239,897,895"
"Feb 20, 2021",$9.275,$1.19,$9.169,$1.12,"$11,454,890,463","$34,938,012,154"
"Feb 19, 2021",$9.143,$9.438,$8.853,$9.276,"$4,582,877,243","$28,861,468,234"
"Feb 18, 2021",$8.909,$9.569,$8.909,$9.141,"$4,918,032,802","$28,440,499,325"
"Feb 17, 2021",$8.709,$8.960,$8.265,$8.909,"$5,841,828,077","$27,718,724,943"
"Feb 16, 2021",$8.607,$9.042,$8.409,$8.710,"$6,948,621,246","$27,097,447,122"
"Feb 15, 2021",$8.478,$9.082,$7.171,$8.610,"$8,979,888,270","$26,788,220,383"
"Feb 14, 2021",$9.063,$9.146,$8.152,$8.484,"$7,159,401,195","$26,396,411,405"
"Feb 13, 2021",$9.254,$9.499,$8.330,$9.057,"$7,532,474,270","$28,179,179,477"
"Feb 12, 2021",$9.271,$9.451,$8.711,$9.256,"$8,035,829,513","$28,797,323,576"
"Feb 11, 2021",$9.308,$9.733,$8.719,$9.277,"$10,627,183,208","$28,864,337,307"
"Feb 10, 2021",$7.035,$9.439,$7.035,$9.303,"$12,667,653,585","$28,944,519,827"
"Feb 09, 2021",$6.821,$7.090,$6.694,$7.035,"$5,885,048,712","$21,888,135,138"
"Feb 08, 2021",$6.624,$7.194,$6.343,$6.825,"$9,056,514,741","$21,234,605,388"
"Feb 07, 2021",$6.288,$7.025,$5.869,$6.632,"$11,252,055,620","$20,634,977,899"
"Feb 06, 2021",$5.378,$6.576,$5.230,$6.279,"$8,109,402,422","$19,535,078,373"
"Feb 05, 2021",$4.411,$5.567,$4.396,$5.379,"$6,808,411,307","$16,734,586,379"
"Feb 04, 2021",$4.414,$4.470,$4.102,$4.411,"$3,553,059,568","$13,722,204,142"
"Feb 03, 2021",$4.260,$4.474,$4.150,$4.414,"$3,648,896,567","$13,733,039,801"
"Feb 02, 2021",$4.030,$4.526,$3.888,$4.262,"$6,504,904,709","$13,261,606,049"
"Feb 01, 2021",$3.448,$4.172,$3.342,$4.020,"$3,838,085,989","$12,508,252,626"
"jan. 31, 2021",$3.626,$3.754,$3.390,$3.449,"$2,455,679,992","$10,730,622,858"
"jan. 30, 2021",$3.481,$3.727,$3.375,$3.626,"$2,866,173,269","$11,281,969,894"
"jan. 29, 2021",$3.523,$3.668,$3.320,$3.481,"$3,367,098,095","$10,831,223,506"
"jan. 28, 2021",$3.130,$3.535,$3.061,$3.461,"$2,863,036,709","$10,768,923,912"
"jan. 27, 2021",$3.442,$3.442,$3.055,$3.131,"$2,666,764,973","$9,740,709,694"
"jan. 26, 2021",$3.438,$3.498,$3.258,$3.442,"$2,557,745,015","$10,709,963,534"
"jan. 25, 2021",$3.538,$3.635,$3.417,$3.439,"$2,339,817,092","$10,699,148,306"
"jan. 24, 2021",$3.456,$3.686,$3.388,$3.539,"$2,539,663,711","$11,010,118,427"
"jan. 23, 2021",$3.493,$3.572,$3.367,$3.456,"$2,781,033,956","$10,753,827,794"
"jan. 22, 2021",$3.101,$3.592,$2.836,$3.496,"$4,066,222,238","$10,876,193,809"
"jan. 21, 2021",$3.754,$3.787,$3.014,$3.102,"$3,567,902,823","$9,651,363,869"
"jan. 20, 2021",$3.689,$3.762,$3.320,$3.754,"$3,281,600,988","$11,679,436,460"
"jan. 19, 2021",$3.715,$3.830,$3.636,$3.691,"$2,957,453,653","$11,484,768,156"
"jan. 18, 2021",$3.797,$3.954,$3.662,$3.714,"$3,480,282,508","$11,556,043,622"
"jan. 17, 2021",$3.523,$3.957,$3.428,$3.799,"$5,617,481,334","$11,818,146,766"
"jan. 16, 2021",$3.025,$3.654,$3.023,$3.524,"$4,476,161,885","$10,965,408,630"
"jan. 15, 2021",$3.106,$3.297,$2.807,$3.025,"$3,171,984,602","$9,412,470,214"
"jan. 14, 2021",$3.135,$3.236,$2.998,$3.104,"$2,686,785,564","$9,657,183,562"
