Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 28, 2021",$26.23,$26.75,$23.08,$24.66,"$2,019,851,813","$10,112,284,118"
"Feb 27, 2021",$25.20,$27.39,$24.91,$26.24,"$1,874,410,773","$10,756,640,655"
"Feb 26, 2021",$24.73,$26.95,$23.76,$25.19,"$170,549,323,809","$10,327,039,145"
"Feb 25, 2021",$28.07,$28.56,$24.60,$24.67,"$2,016,768,740","$10,077,132,966"
"Feb 24, 2021",$25.83,$29.18,$24.65,$28.09,"$3,087,989,666","$11,473,692,977"
"Feb 23, 2021",$31.52,$31.55,$21.20,$25.80,"$5,101,235,733","$10,539,686,857"
"Feb 22, 2021",$34.15,$34.16,$25.66,$31.53,"$3,577,738,647","$12,880,635,726"
"Feb 21, 2021",$34.07,$35.23,$33.43,$34.15,"$1,768,919,688","$13,951,721,505"
"Feb 20, 2021",$34.71,$36.83,$32.64,$34.11,"$3,095,945,276","$13,934,186,074"
"Feb 19, 2021",$32.46,$35.41,$31.58,$34.72,"$2,518,517,791","$14,129,422,326"
"Feb 18, 2021",$32.25,$33.53,$31.90,$32.44,"$1,726,602,703","$13,203,997,908"
"Feb 17, 2021",$31.98,$32.59,$30.05,$32.26,"$3,072,709,794","$13,128,824,904"
"Feb 16, 2021",$32.53,$33.23,$30.97,$31.97,"$3,794,728,331","$13,013,512,347"
"Feb 15, 2021",$33.27,$34.82,$28.31,$32.58,"$4,824,452,129","$13,258,702,391"
"Feb 14, 2021",$34.12,$35.58,$32.46,$33.29,"$4,767,351,611","$13,549,479,222"
"Feb 13, 2021",$30.65,$34.54,$29.29,$34.10,"$5,124,433,887","$13,879,830,959"
"Feb 12, 2021",$27.86,$31.38,$26.83,$30.64,"$4,140,041,014","$12,471,073,511"
"Feb 11, 2021",$26.86,$28.45,$26.31,$27.87,"$3,098,066,261","$11,303,270,464"
"Feb 10, 2021",$27.59,$28.60,$25.69,$26.86,"$4,118,325,809","$10,891,822,824"
"Feb 09, 2021",$25.46,$27.90,$25.00,$27.59,"$3,700,778,076","$11,189,717,886"
"Feb 08, 2021",$24.78,$25.94,$24.06,$25.46,"$3,063,771,708","$10,322,693,215"
"Feb 07, 2021",$25.05,$25.28,$23.09,$24.79,"$2,772,921,169","$10,052,631,510"
"Feb 06, 2021",$26.35,$26.72,$24.47,$25.05,"$3,146,238,667","$10,157,742,701"
"Feb 05, 2021",$24.50,$26.90,$24.50,$26.36,"$3,936,072,394","$10,690,580,577"
"Feb 04, 2021",$25.08,$25.97,$22.99,$24.50,"$3,344,787,680","$9,897,815,357"
"Feb 03, 2021",$23.71,$25.44,$23.57,$25.07,"$3,147,392,512","$10,129,745,790"
"Feb 02, 2021",$22.84,$24.11,$22.79,$23.71,"$2,604,058,586","$9,580,526,346"
"Feb 01, 2021",$22.60,$23.15,$21.70,$22.84,"$2,422,414,493","$9,227,433,045"
"jan. 31, 2021",$23.60,$24.53,$22.17,$22.60,"$2,692,563,296","$9,129,983,491"
"jan. 30, 2021",$22.77,$23.95,$22.23,$23.59,"$2,685,935,167","$9,532,212,683"
"jan. 29, 2021",$23.30,$24.18,$22.11,$22.77,"$3,788,470,512","$9,200,688,833"
"jan. 28, 2021",$21.06,$24.46,$20.63,$23.11,"$3,652,814,431","$9,302,359,361"
"jan. 27, 2021",$23.03,$23.11,$20.38,$21.07,"$3,092,662,315","$8,481,056,119"
"jan. 26, 2021",$23.52,$23.95,$21.77,$23.03,"$3,117,612,364","$9,268,130,067"
"jan. 25, 2021",$24.70,$25.65,$22.74,$23.54,"$3,740,983,054","$9,475,123,980"
"jan. 24, 2021",$24.77,$24.87,$23.38,$24.70,"$3,727,726,940","$9,942,734,313"
"jan. 23, 2021",$21.61,$25.45,$21.25,$24.76,"$5,098,945,533","$9,966,752,825"
"jan. 22, 2021",$18.41,$22.43,$17.38,$21.63,"$4,292,258,678","$8,706,079,680"
"jan. 21, 2021",$21.85,$21.94,$18.16,$18.42,"$3,407,990,168","$7,397,521,434"
"jan. 20, 2021",$20.72,$21.93,$19.19,$21.85,"$3,432,961,301","$8,771,689,544"
"jan. 19, 2021",$22.04,$22.80,$20.58,$20.75,"$3,077,697,742","$8,332,966,570"
"jan. 18, 2021",$23.20,$23.53,$21.21,$22.04,"$3,602,422,029","$8,847,769,957"
"jan. 17, 2021",$20.22,$23.61,$19.46,$23.17,"$5,027,606,263","$9,301,680,726"
"jan. 16, 2021",$20.71,$22.69,$19.72,$20.22,"$5,499,569,396","$8,117,879,691"
"jan. 15, 2021",$17.87,$21.19,$17.57,$20.71,"$6,831,687,993","$8,315,152,831"
"jan. 14, 2021",$15.93,$17.83,$15.43,$17.83,"$2,758,638,858","$7,139,583,878"
"jan. 13, 2021",$13.90,$16.21,$13.43,$15.93,"$2,265,358,357","$6,380,153,855"
"jan. 12, 2021",$14.55,$15.44,$13.75,$13.92,"$2,198,321,176","$5,573,430,602"
"jan. 11, 2021",$16.25,$16.25,$12.57,$14.56,"$3,428,738,380","$5,830,190,685"
"jan. 10, 2021",$17.60,$18.45,$15.62,$16.25,"$3,058,197,027","$6,507,250,898"
"jan. 09, 2021",$15.28,$17.90,$15.06,$17.61,"$2,622,916,177","$7,051,977,120"
"jan. 08, 2021",$16.02,$16.15,$14.26,$15.29,"$2,749,568,572","$6,115,380,266"
"jan. 07, 2021",$17.16,$17.35,$15.23,$16.03,"$2,848,054,681","$6,404,924,378"
"jan. 06, 2021",$14.55,$17.22,$14.18,$17.16,"$3,654,880,010","$6,853,688,989"
