Date,Open,High,Low,Close,Volume,Market Cap
"Oct 13, 2020","0,077646","0,077652","0,075698","0,076345",125.542.356,1.586.810.456
"Oct 12, 2020","0,077163","0,079095","0,076176","0,077683",133.171.634,1.613.843.672
"Oct 11, 2020","0,077351","0,078659","0,076983","0,077229",120.268.596,1.604.416.705
"Oct 10, 2020","0,075096","0,078274","0,075077","0,077373",145.849.675,1.607.398.220
"Oct 09, 2020","0,073336","0,075956","0,072833","0,075382",155.616.297,1.566.049.958
"Oct 08, 2020","0,072585","0,073568","0,070895","0,07332",130.094.183,1.523.932.374
"Oct 07, 2020","0,072645","0,073347","0,071159","0,072596",131.878.153,1.507.541.628
"Oct 06, 2020","0,073589","0,075124","0,072127","0,072645",159.638.368,1.508.671.158
"Oct 05, 2020","0,073291","0,074302","0,072821","0,073556",130.542.568,1.527.452.937
"Oct 04, 2020","0,07151","0,073663","0,071027","0,073291",109.200.107,1.521.693.767
"Oct 03, 2020","0,071294","0,072463","0,071033","0,07151",106.056.272,1.484.711.887
"Oct 02, 2020","0,073397","0,074049","0,069871","0,071269",157.133.885,1.479.705.959
"Oct 01, 2020","0,075069","0,076537","0,072295","0,073404",155.657.917,1.523.987.609
"Sep 30, 2020","0,074415","0,075222","0,072641","0,07497",118.117.386,1.555.344.552
"Sep 29, 2020","0,073667","0,075179","0,072617","0,074425",119.672.763,1.543.576.044
"Sep 28, 2020","0,073629","0,076001","0,073507","0,073706",132.079.368,1.527.716.227
"Sep 27, 2020","0,074229","0,075032","0,07199","0,073629",116.260.361,1.526.661.844
"Sep 26, 2020","0,074719","0,07644","0,073048","0,074222",119.871.709,1.538.966.889
"Sep 25, 2020","0,070613","0,075711","0,069586","0,074668",164.765.497,1.548.206.779
"Sep 24, 2020","0,067754","0,070844","0,067289","0,070631",139.546.919,1.464.150.766
"Sep 23, 2020","0,071987","0,072588","0,067568","0,067778",115.234.143,1.405.214.816
"Sep 22, 2020","0,070663","0,072512","0,070016","0,071987",108.176.092,1.492.626.207
"Sep 21, 2020","0,077419","0,077698","0,070173","0,070703",124.951.989,1.465.710.346
"Sep 20, 2020","0,078979","0,079054","0,076007","0,077406",101.725.308,1.603.591.843
"Sep 19, 2020","0,078476","0,081263","0,077788","0,07898",102.880.672,1.636.202.307
"Sep 18, 2020","0,080424","0,080607","0,077935","0,078461",110.248.244,1.625.449.654
"Sep 17, 2020","0,080304","0,082072","0,07842","0,080424",154.219.419,1.663.257.159
"Sep 16, 2020","0,078296","0,081559","0,07596","0,080199",183.746.302,1.659.396.295
"Sep 15, 2020","0,080486","0,0816","0,078107","0,078256",168.607.726,1.617.719.162
"Sep 14, 2020","0,080064","0,082753","0,079432","0,080452",150.757.355,1.661.257.583
"Sep 13, 2020","0,084105","0,084658","0,079566","0,080061",140.385.591,1.653.024.464
"Sep 12, 2020","0,083891","0,085277","0,083005","0,084105",130.594.675,1.736.523.827
"Sep 11, 2020","0,081324","0,084418","0,079397","0,083808",142.072.516,1.730.392.556
"Sep 10, 2020","0,078612","0,083386","0,078583","0,081324",161.477.831,1.679.916.313
"Sep 09, 2020","0,07754","0,079879","0,076021","0,078626",118.253.396,1.623.071.904
"Sep 08, 2020","0,078683","0,079577","0,075751","0,077537",149.705.922,1.600.643.380
"Sep 07, 2020","0,077859","0,079327","0,074667","0,078691",163.474.090,1.624.460.083
"Sep 06, 2020","0,075512","0,079146","0,072577","0,077862",198.268.220,1.607.347.698
"Sep 05, 2020","0,081374","0,083175","0,074044","0,075512",227.987.351,1.558.832.483
"Sep 04, 2020","0,079314","0,083094","0,0762","0,081452",299.460.315,1.681.465.033
"Sep 03, 2020","0,092604","0,093033","0,07877","0,079447",278.190.195,1.638.164.090
"Sep 02, 2020","0,099352","0,099816","0,090364","0,09265",270.916.414,1.909.461.837
"Sep 01, 2020","0,097283","0,100862","0,096516","0,099379",261.417.048,2.048.129.409
"Aug 31, 2020","0,098315","0,098969","0,095455","0,097311",200.377.295,2.005.513.495
"Aug 30, 2020","0,096713","0,09849","0,096603","0,098247",194.696.528,2.024.558.918
"Aug 29, 2020","0,095797","0,097385","0,094889","0,096737",176.461.129,1.993.436.712
"Aug 28, 2020","0,093926","0,096645","0,093185","0,095819",185.494.720,1.973.574.345
"Aug 27, 2020","0,098362","0,098859","0,091609","0,093917",251.313.087,1.934.395.529
"Aug 26, 2020","0,098079","0,100437","0,096691","0,098418",235.648.983,2.027.230.541
"Aug 25, 2020","0,103518","0,103518","0,09665","0,098112",226.110.548,2.020.892.437
"Aug 24, 2020","0,102973","0,105924","0,10146","0,103502",170.036.740,2.130.460.274
"Aug 23, 2020","0,102399","0,10305","0,09921","0,10305",162.138.541,2.120.493.487
"Aug 22, 2020","0,100439","0,102478","0,098509","0,102462",206.985.739,2.108.384.556
"Aug 21, 2020","0,107228","0,109333","0,100383","0,100438",267.403.132,2.065.779.538
"Aug 20, 2020","0,10252","0,107232","0,101224","0,107175",199.755.664,2.204.351.664
"Aug 19, 2020","0,108803","0,109499","0,1001","0,102548",252.993.404,2.109.180.518
"Aug 18, 2020","0,113649","0,116018","0,107948","0,10877",256.529.526,2.237.158.597
"Aug 17, 2020","0,114619","0,118987","0,110739","0,113654",419.680.340,2.337.152.018
"Aug 16, 2020","0,106762","0,115125","0,104407","0,114619",286.171.648,2.354.748.534
"Aug 15, 2020","0,104988","0,108583","0,103698","0,106799",258.271.148,2.194.110.289
"Aug 14, 2020","0,102176","0,108184","0,101302","0,104972",269.518.943,2.156.574.243
"Aug 13, 2020","0,102146","0,103217","0,098174","0,102137",231.325.307,2.098.333.739
"Aug 12, 2020","0,100965","0,103658","0,097064","0,102179",223.009.012,2.098.483.146
"Aug 11, 2020","0,106026","0,108495","0,097953","0,100932",531.368.379,2.072.856.903
"Aug 10, 2020","0,105186","0,10691","0,103885","0,105994",235.437.880,2.176.525.074
"Aug 09, 2020","0,103151","0,106837","0,103098","0,105086",219.371.826,2.157.887.346
"Aug 08, 2020","0,103177","0,104344","0,101834","0,10296",179.081.363,2.113.295.929
"Aug 07, 2020","0,106427","0,107729","0,100053","0,103121",425.365.420,2.116.596.099
"Aug 06, 2020","0,107863","0,108024","0,105615","0,106432",217.021.091,2.185.304.199
"Aug 05, 2020","0,109911","0,111014","0,107409","0,107935",236.900.060,2.214.458.339
"Aug 04, 2020","0,105056","0,111197","0,105056","0,109971",322.228.936,2.255.913.581
"Aug 03, 2020","0,10264","0,108085","0,10173","0,105059",307.978.252,2.153.416.691
"Aug 02, 2020","0,107006","0,114879","0,098981","0,10255",499.258.062,2.101.488.480
"Aug 01, 2020","0,096931","0,107754","0,09688","0,106995",400.852.491,2.192.580.351
"jul. 31, 2020","0,096671","0,097134","0,095435","0,096931",176.835.286,1.985.953.070
"jul. 30, 2020","0,095302","0,097458","0,094837","0,096643",180.339.488,1.979.657.351
"jul. 29, 2020","0,096977","0,099101","0,09506","0,095288",241.946.098,1.952.072.761
"jul. 28, 2020","0,094529","0,097532","0,093606","0,097002",298.863.222,1.986.337.196
"jul. 27, 2020","0,098681","0,099597","0,090114","0,094541",347.516.202,1.935.600.557
"jul. 26, 2020","0,100115","0,105067","0,097449","0,098732",328.857.055,2.020.075.131
"jul. 25, 2020","0,095662","0,100673","0,09533","0,100179",237.008.047,2.049.666.489
"jul. 24, 2020","0,097764","0,097931","0,095256","0,095563",221.044.089,1.955.223.758
"jul. 23, 2020","0,097261","0,100999","0,096909","0,097764",259.146.414,1.999.403.437
"jul. 22, 2020","0,09617","0,097494","0,094478","0,097224",188.477.646,1.988.120.719
"jul. 21, 2020","0,0946","0,097956","0,09408","0,096224",222.225.815,1.967.290.358
"jul. 20, 2020","0,099898","0,101273","0,094055","0,094679",238.907.306,1.935.415.415
"jul. 19, 2020","0,100707","0,101949","0,09739","0,099877",215.208.318,2.041.663.079
"jul. 18, 2020","0,103775","0,104056","0,099309","0,100691",266.646.100,2.058.296.015
"jul. 17, 2020","0,100758","0,106773","0,099677","0,103919",505.735.318,2.124.279.107
"jul. 16, 2020","0,094064","0,102505","0,089316","0,100669",505.630.696,2.056.482.297
"jul. 15, 2020","0,091956","0,095613","0,087782","0,094042",391.047.540,1.920.873.470
"jul. 14, 2020","0,09022","0,092322","0,086238","0,092108",305.049.008,1.885.322.032
"jul. 13, 2020","0,095002","0,097345","0,088453","0,090291",389.748.252,1.847.684.726
"jul. 12, 2020","0,094334","0,097264","0,090747","0,095002",382.865.014,1.942.383.395
"jul. 11, 2020","0,088926","0,100025","0,088755","0,094331",604.044.703,1.928.675.628
"jul. 10, 2020","0,090524","0,090697","0,083007","0,088913",529.828.870,1.817.890.099
"jul. 09, 2020","0,084874","0,097164","0,083337","0,090588",845.893.278,1.851.907.963
"jul. 08, 2020","0,073287","0,085003","0,072658","0,085003",471.290.003,1.735.983.791
"jul. 07, 2020","0,07167","0,073973","0,070344","0,073268",257.005.980,1.494.137.820
"jul. 06, 2020","0,067177","0,071982","0,066644","0,071863",279.337.235,1.464.609.016
"jul. 05, 2020","0,067854","0,068115","0,065755","0,067177",202.429.385,1.369.104.858
"jul. 04, 2020","0,067234","0,068416","0,066543","0,067867",218.498.800,1.383.175.868
"jul. 03, 2020","0,06841","0,06841","0,066771","0,067249",204.165.764,1.370.571.609
"jul. 02, 2020","0,068525","0,070878","0,067248","0,068406",290.632.981,1.394.165.169
"jul. 01, 2020","0,067105","0,069577","0,066242","0,068488",316.808.164,1.395.526.475
"jun. 30, 2020","0,065076","0,067579","0,064234","0,067068",289.552.123,1.366.048.832
"jun. 29, 2020","0,064467","0,065484","0,063159","0,065264",291.925.173,1.329.303.256
"jun. 28, 2020","0,063189","0,065204","0,062204","0,064378",220.022.782,1.311.264.186
"jun. 27, 2020","0,067087","0,067471","0,061251","0,063189",283.951.205,1.287.031.296
"jun. 26, 2020","0,067853","0,068748","0,066502","0,067097",314.879.213,1.366.632.576
"jun. 25, 2020","0,069317","0,07056","0,066312","0,067831",331.356.547,1.381.051.162
"jun. 24, 2020","0,071293","0,072757","0,068581","0,069173",372.491.015,1.408.369.587
"jun. 23, 2020","0,07189","0,072269","0,07007","0,071219",377.047.281,1.449.814.789
"jun. 22, 2020","0,068755","0,071921","0,068733","0,071872",414.440.267,1.462.957.211
"jun. 21, 2020","0,06983","0,070461","0,068699","0,068757",329.921.806,1.398.656.168
"jun. 20, 2020","0,069271","0,070369","0,068706","0,069921",373.213.605,1.422.347.087
"jun. 19, 2020","0,07094","0,071045","0,068845","0,069271",409.199.952,1.409.123.910
"jun. 18, 2020","0,071901","0,072256","0,069863","0,070937",396.472.624,1.443.001.131
"jun. 17, 2020","0,071361","0,073836","0,07016","0,071893",460.635.041,1.461.552.415
