Date,Open,High,Low,Close,Volume,Market Cap
"Oct 06, 2020","2,15","2,23","2,05","2,07",145.996.245,1.540.075.795
"Oct 05, 2020","2,12","2,17","2,08","2,15",88.497.831,1.602.217.167
"Oct 04, 2020","2,12","2,16","2,09","2,12",95.035.975,1.578.789.556
"Oct 03, 2020","2,09","2,15","2,08","2,12",89.222.658,1.579.557.402
"Oct 02, 2020","2,19","2,21","2,04","2,09",141.246.377,1.558.443.099
"Oct 01, 2020","2,2","2,3","2,15","2,19",126.415.925,1.634.232.572
"Sep 30, 2020","2,23","2,24","2,14","2,2",106.358.108,1.638.679.611
"Sep 29, 2020","2,26","2,31","2,14","2,23",108.454.816,1.662.528.845
"Sep 28, 2020","2,18","2,35","2,17","2,26",126.374.757,1.680.517.102
"Sep 27, 2020","2,17","2,23","2,11","2,18",100.319.529,1.620.385.404
"Sep 26, 2020","2,21","2,24","2,15","2,17",106.343.294,1.617.209.753
"Sep 25, 2020","2,16","2,28","2,11","2,21",121.013.717,1.646.198.532
"Sep 24, 2020","1,96","2,18","1,95","2,16",127.817.155,1.604.635.142
"Sep 23, 2020","2,12","2,15","1,93","1,96",147.111.267,1.455.824.239
"Sep 22, 2020","1,98","2,18","1,97","2,12",163.015.986,1.575.532.830
"Sep 21, 2020","2,22","2,27","1,94","1,99",238.763.507,1.477.509.783
"Sep 20, 2020","2,35","2,41","2,17","2,22",156.962.844,1.652.940.927
"Sep 19, 2020","2,41","2,41","2,29","2,34",148.653.832,1.743.502.606
"Sep 18, 2020","2,49","2,53","2,36","2,41",153.137.960,1.788.682.266
"Sep 17, 2020","2,49","2,56","2,46","2,49",155.785.199,1.852.771.676
"Sep 16, 2020","2,52","2,55","2,44","2,49",187.246.376,1.852.958.934
"Sep 15, 2020","2,63","2,68","2,52","2,52",196.681.904,1.873.968.595
"Sep 14, 2020","2,62","2,7","2,55","2,63",181.332.731,1.954.124.707
"Sep 13, 2020","2,61","2,74","2,55","2,62",230.732.356,1.947.010.278
"Sep 12, 2020","2,57","2,64","2,52","2,61",172.731.455,1.940.053.907
"Sep 11, 2020","2,58","2,63","2,48","2,57",187.683.931,1.910.862.197
"Sep 10, 2020","2,54","2,67","2,54","2,58",200.173.000,1.918.881.564
"Sep 09, 2020","2,51","2,61","2,43","2,55",184.328.871,1.890.049.649
"Sep 08, 2020","2,56","2,65","2,44","2,51",237.521.903,1.864.429.339
"Sep 07, 2020","2,57","2,6","2,39","2,56",237.979.550,1.903.030.440
"Sep 06, 2020","2,48","2,63","2,37","2,57",256.282.107,1.904.959.110
"Sep 05, 2020","2,76","2,83","2,36","2,48",369.123.395,1.842.523.753
"Sep 04, 2020","2,59","2,84","2,5","2,76",295.571.097,2.045.037.849
"Sep 03, 2020","3,13","3,13","2,51","2,58",294.580.604,1.917.626.502
"Sep 02, 2020","3,44","3,46","2,98","3,13",272.620.179,2.325.089.108
"Sep 01, 2020","3,26","3,5","3,19","3,44",213.344.459,2.552.875.529
"Aug 31, 2020","3,38","3,46","3,26","3,26",153.954.445,2.414.977.637
"Aug 30, 2020","3,36","3,42","3,33","3,38",157.757.544,2.507.624.668
"Aug 29, 2020","3,26","3,42","3,2","3,36",167.076.368,2.491.027.678
"Aug 28, 2020","3,2","3,31","3,14","3,26",157.445.156,2.417.211.297
"Aug 27, 2020","3,37","3,41","3,11","3,21",236.563.338,2.376.041.947
"Aug 26, 2020","3,45","3,5","3,31","3,38",204.399.531,2.502.048.859
"Aug 25, 2020","3,68","3,7","3,32","3,45",249.600.095,2.553.558.621
"Aug 24, 2020","3,52","3,79","3,46","3,69",233.005.843,2.731.680.315
"Aug 23, 2020","3,58","3,61","3,38","3,52",172.850.688,2.608.955.404
"Aug 22, 2020","3,39","3,6","3,29","3,58",229.620.599,2.650.591.677
"Aug 21, 2020","3,86","3,9","3,35","3,39",287.391.404,2.512.041.449
"Aug 20, 2020","3,64","3,92","3,51","3,85",305.749.013,2.854.071.600
"Aug 19, 2020","3,83","3,91","3,52","3,63",381.949.536,2.690.988.842
"Aug 18, 2020","4,03","4,14","3,75","3,83",260.614.843,2.837.079.406
"Aug 17, 2020","4,24","4,25","4,02","4,03",229.654.914,2.985.609.883
"Aug 16, 2020","4,08","4,36","4,03","4,24",284.937.976,3.136.665.703
"Aug 15, 2020","4,09","4,3","3,93","4,08",338.468.043,3.018.435.870
"Aug 14, 2020","4,17","4,28","4,01","4,1",278.165.303,3.030.882.186
"Aug 13, 2020","4,41","4,48","4,03","4,18",457.809.394,3.088.171.368
"Aug 12, 2020","4,01","4,46","3,67","4,41",542.700.999,3.259.030.435
"Aug 11, 2020","4,28","4,41","3,81","4,01",546.232.328,2.966.162.407
"Aug 10, 2020","3,7","4,27","3,57","4,27",525.009.907,3.157.360.070
"Aug 09, 2020","3,37","3,77","3,29","3,68",342.620.805,2.723.508.485
"Aug 08, 2020","3,07","3,48","3,03","3,38",225.885.661,2.498.021.118
"Aug 07, 2020","3,23","3,28","2,98","3,07",213.195.512,2.270.301.149
"Aug 06, 2020","3,11","3,37","3,09","3,22",208.842.704,2.382.847.750
"Aug 05, 2020","3,23","3,25","3,09","3,12",161.304.037,2.301.953.669
"Aug 04, 2020","3,06","3,29","3,06","3,23",284.036.870,2.385.473.485
"Aug 03, 2020","2,88","3,06","2,84","3,06",190.598.020,2.257.445.350
"Aug 02, 2020","3,03","3,12","2,79","2,88",249.982.954,2.124.910.456
"Aug 01, 2020","2,84","3,05","2,83","3,03",172.314.235,2.236.281.911
"jul. 31, 2020","2,81","2,9","2,79","2,84",109.436.571,2.096.447.837
"jul. 30, 2020","2,78","2,85","2,74","2,81",102.353.935,2.074.553.142
"jul. 29, 2020","2,83","2,94","2,76","2,79",135.216.954,2.056.179.852
"jul. 28, 2020","2,82","2,89","2,75","2,83",158.332.704,2.091.226.704
"jul. 27, 2020","2,98","2,98","2,67","2,82",267.560.520,2.079.765.797
"jul. 26, 2020","3,06","3,1","2,96","2,98",153.418.589,2.199.951.159
"jul. 25, 2020","3,03","3,11","3,02","3,06",128.872.045,2.254.569.238
"jul. 24, 2020","3,17","3,19","3,01","3,03",144.067.871,2.235.309.954
"jul. 23, 2020","3,08","3,22","3,04","3,17",170.069.172,2.335.347.548
"jul. 22, 2020","3,02","3,09","2,92","3,08",126.518.487,2.273.480.810
"jul. 21, 2020","2,77","3,05","2,75","3,02",155.225.484,2.222.645.810
"jul. 20, 2020","2,98","2,98","2,76","2,77",131.836.409,2.040.725.943
"jul. 19, 2020","3,01","3,04","2,9","2,98",122.426.954,2.192.784.634
"jul. 18, 2020","3,17","3,17","2,97","3,01",164.183.772,2.214.895.986
"jul. 17, 2020","3,09","3,21","3,02","3,17",186.924.039,2.336.330.742
