Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 28, 2021",$4.378,$4.394,$3.977,$4.150,"$4,325,860,134","$18,840,545,903"
"Feb 27, 2021",$4.279,$4.576,$4.279,$4.378,"$4,756,622,833","$19,878,291,691"
"Feb 26, 2021",$4.349,$4.504,$4.156,$4.279,"$6,476,253,874","$19,428,392,307"
"Feb 25, 2021",$4.718,$4.825,$4.291,$4.345,"$5,952,353,924","$19,729,119,199"
"Feb 24, 2021",$4.742,$4.994,$4.548,$4.718,"$8,015,468,859","$21,423,051,553"
"Feb 23, 2021",$5.710,$5.710,$3.793,$4.736,"$14,359,021,786","$21,501,649,334"
"Feb 22, 2021",$5.483,$6.399,$5.201,$5.717,"$18,769,236,632","$25,959,351,669"
"Feb 21, 2021",$5.169,$5.584,$5.085,$5.486,"$6,569,716,153","$24,906,840,534"
"Feb 20, 2021",$5.669,$5.824,$4.824,$5.175,"$7,892,199,926","$23,497,139,197"
"Feb 19, 2021",$5.326,$5.791,$5.207,$5.670,"$6,896,487,164","$25,744,927,541"
"Feb 18, 2021",$5.351,$5.586,$5.239,$5.324,"$5,621,706,995","$24,174,607,717"
"Feb 17, 2021",$5.208,$5.544,$4.971,$5.355,"$9,332,962,077","$24,315,547,799"
"Feb 16, 2021",$5.486,$5.773,$4.900,$5.208,"$10,310,430,732","$23,648,505,355"
"Feb 15, 2021",$5.935,$6.001,$5.216,$5.489,"$10,563,510,365","$24,922,969,086"
"Feb 14, 2021",$6.284,$6.324,$5.672,$5.942,"$10,460,949,240","$26,978,760,718"
"Feb 13, 2021",$6.081,$6.370,$5.499,$6.290,"$14,161,115,005","$28,558,959,198"
"Feb 12, 2021",$5.246,$6.126,$5.183,$6.086,"$13,950,086,407","$27,632,542,730"
"Feb 11, 2021",$5.031,$5.276,$5.011,$5.248,"$8,979,459,920","$23,827,421,835"
"Feb 10, 2021",$4.719,$5.341,$4.660,$5.034,"$13,793,347,172","$22,858,444,785"
"Feb 09, 2021",$4.477,$4.852,$4.476,$4.720,"$9,634,769,935","$21,430,272,599"
"Feb 08, 2021",$4.178,$4.599,$4.127,$4.477,"$8,180,714,581","$20,327,474,410"
"Feb 07, 2021",$4.391,$4.455,$3.988,$4.180,"$7,495,069,765","$18,976,956,807"
"Feb 06, 2021",$4.502,$4.523,$4.267,$4.391,"$7,625,571,666","$19,936,712,822"
"Feb 05, 2021",$4.453,$4.647,$4.251,$4.500,"$10,229,060,640","$20,433,948,824"
"Feb 04, 2021",$3.934,$4.723,$3.792,$4.464,"$13,193,400,182","$20,270,587,945"
"Feb 03, 2021",$3.694,$4.081,$3.694,$3.935,"$8,672,301,822","$17,866,022,515"
"Feb 02, 2021",$3.705,$4.043,$3.443,$3.693,"$12,756,138,062","$16,766,345,436"
"Feb 01, 2021",$4.925,$7.448,$3.607,$3.715,"$34,974,233,953","$16,867,989,812"
"jan. 31, 2021",$4.378,$4.997,$3.895,$4.923,"$24,394,851,756","$22,353,042,408"
"jan. 30, 2021",$2.822,$4.893,$2.798,$4.402,"$24,417,465,997","$19,988,871,043"
"jan. 29, 2021",$2.705,$3.102,$2.605,$2.822,"$8,031,899,348","$12,812,456,128"
"jan. 28, 2021",$2.519,$2.690,$2.488,$2.641,"$2,793,379,611","$11,992,206,363"
"jan. 27, 2021",$2.689,$2.690,$2.455,$2.519,"$2,940,937,079","$11,439,248,738"
"jan. 26, 2021",$2.690,$2.711,$2.597,$2.688,"$2,790,821,503","$12,205,812,184"
"jan. 25, 2021",$2.735,$2.824,$2.688,$2.691,"$2,925,493,997","$12,217,714,233"
"jan. 24, 2021",$2.718,$2.774,$2.702,$2.735,"$2,472,431,875","$12,418,387,933"
"jan. 23, 2021",$2.726,$2.826,$2.670,$2.718,"$3,018,882,841","$12,341,790,398"
"jan. 22, 2021",$2.688,$2.778,$2.449,$2.728,"$4,501,765,714","$12,386,155,167"
"jan. 21, 2021",$2.965,$3.062,$2.631,$2.689,"$4,453,463,443","$12,211,250,678"
"jan. 20, 2021",$2.942,$3.086,$2.820,$2.965,"$4,528,341,598","$13,463,112,369"
"jan. 19, 2021",$2.848,$3.262,$2.840,$2.943,"$5,583,136,814","$13,363,027,569"
"jan. 18, 2021",$2.774,$2.876,$2.726,$2.848,"$3,239,112,861","$12,929,668,504"
"jan. 17, 2021",$2.801,$2.853,$2.707,$2.774,"$3,488,557,208","$12,594,335,138"
"jan. 16, 2021",$2.803,$2.952,$2.770,$2.802,"$4,116,256,007","$12,721,680,326"
"jan. 15, 2021",$2.956,$3.018,$2.647,$2.804,"$4,955,409,029","$12,731,539,391"
"jan. 14, 2021",$3.055,$3.083,$2.842,$2.954,"$5,277,189,444","$13,414,071,298"
"jan. 13, 2021",$2.920,$3.088,$2.869,$3.056,"$4,831,812,051","$13,874,553,414"
"jan. 12, 2021",$2.887,$3.099,$2.794,$2.921,"$6,557,418,314","$13,263,566,887"
"jan. 11, 2021",$3.179,$3.179,$2.595,$2.889,"$9,787,288,503","$13,117,452,414"
"jan. 10, 2021",$3.268,$3.652,$2.922,$3.183,"$9,647,740,012","$14,453,755,388"
"jan. 09, 2021",$3.232,$3.399,$3.079,$3.269,"$7,184,429,145","$14,843,313,424"
"jan. 08, 2021",$3.261,$3.459,$2.915,$3.232,"$9,825,829,516","$14,675,925,485"
"jan. 07, 2021",$2.509,$3.653,$2.478,$3.260,"$15,955,049,240","$14,801,803,205"
"jan. 06, 2021",$2.269,$2.692,$2.235,$2.509,"$7,552,726,810","$11,391,651,582"
"jan. 05, 2021",$2.366,$2.413,$2.216,$2.268,"$5,378,491,929","$10,295,369,035"
"jan. 04, 2021",$2.260,$2.565,$2.197,$2.367,"$6,141,918,380","$10,746,094,508"
"jan. 03, 2021",$2.217,$2.377,$2.172,$2.258,"$5,109,898,871","$10,254,417,777"
"jan. 02, 2021",$2.377,$2.384,$2.158,$2.217,"$4,773,658,725","$10,064,026,551"
"jan. 01, 2021",$2.198,$2.493,$2.173,$2.374,"$5,888,429,287","$10,780,931,627"
"Dec 31, 2020",$2.118,$2.276,$2.065,$2.198,"$5,363,979,601","$9,981,874,643"
"Dec 30, 2020",$2.209,$2.354,$1.947,$2.118,"$8,894,036,560","$9,617,853,652"
"Dec 29, 2020",$2.477,$2.483,$1.748,$2.210,"$12,970,077,098","$10,032,565,433"
"Dec 28, 2020",$2.834,$3.060,$2.394,$2.480,"$8,389,871,765","$11,258,302,527"
"Dec 27, 2020",$2.948,$3.075,$2.702,$2.830,"$9,250,325,478","$12,851,124,973"
"Dec 26, 2020",$3.181,$3.223,$2.872,$2.947,"$9,984,475,081","$13,381,179,323"
"Dec 25, 2020",$3.373,$3.806,$2.852,$3.181,"$16,321,189,804","$14,442,592,187"
"Dec 24, 2020",$2.591,$3.676,$2.437,$3.378,"$16,742,652,289","$15,338,322,460"
"Dec 23, 2020",$4.480,$4.480,$2.214,$2.586,"$19,793,483,656","$11,741,555,006"
"Dec 22, 2020",$5.168,$5.216,$4.106,$4.484,"$15,134,323,976","$20,361,343,191"
"Dec 21, 2020",$5.560,$5.678,$5.029,$5.169,"$9,852,685,075","$23,471,317,699"
"Dec 20, 2020",$5.790,$5.856,$5.385,$5.561,"$9,611,613,770","$25,247,252,305"
"Dec 19, 2020",$5.842,$6.020,$5.680,$5.792,"$11,188,586,674","$26,296,322,781"
"Dec 18, 2020",$5.767,$6.104,$5.523,$5.843,"$14,936,843,250","$26,528,677,892"
"Dec 17, 2020",$5.685,$6.539,$5.464,$5.767,"$21,429,914,951","$26,183,450,958"
"Dec 16, 2020",$4.697,$5.688,$4.420,$5.686,"$15,158,282,218","$25,817,986,327"
"Dec 15, 2020",$4.977,$5.066,$4.660,$4.697,"$9,052,977,849","$21,326,732,025"
"Dec 14, 2020",$5.116,$5.171,$4.902,$4.977,"$7,110,439,196","$22,598,131,537"
"Dec 13, 2020",$5.067,$5.270,$4.873,$5.115,"$8,534,780,504","$23,222,510,729"
"Dec 12, 2020",$5.463,$5.463,$4.874,$5.064,"$10,925,057,158","$22,992,625,207"
"Dec 11, 2020",$5.731,$5.837,$5.314,$5.465,"$10,708,202,570","$24,812,540,805"
"Dec 10, 2020",$5.837,$5.869,$5.562,$5.730,"$9,695,432,997","$25,986,225,091"
"Dec 09, 2020",$5.587,$6.019,$5.060,$5.836,"$12,648,574,700","$26,468,599,510"
"Dec 08, 2020",$6.089,$6.102,$5.546,$5.588,"$8,302,771,172","$25,345,915,393"
"Dec 07, 2020",$6.197,$6.228,$5.928,$6.089,"$7,718,537,440","$27,605,614,509"
"Dec 06, 2020",$5.844,$6.259,$5.815,$6.199,"$10,280,250,882","$28,100,510,377"
"Dec 05, 2020",$5.571,$5.958,$5.518,$5.844,"$8,565,677,726","$26,494,306,276"
"Dec 04, 2020",$6.315,$6.330,$5.467,$5.573,"$9,629,062,989","$25,263,077,880"
"Dec 03, 2020",$6.300,$6.403,$6.162,$6.315,"$9,884,297,219","$28,627,830,442"
"Dec 02, 2020",$6.130,$6.359,$5.986,$6.299,"$12,874,875,863","$28,555,757,296"
"Dec 01, 2020",$6.645,$6.792,$5.943,$6.129,"$16,985,355,820","$27,786,451,402"
"nov. 30, 2020",$6.063,$6.722,$6.004,$6.643,"$17,398,359,053","$30,117,263,916"
"nov. 29, 2020",$6.257,$6.345,$5.884,$6.062,"$15,391,721,339","$27,492,190,918"
"nov. 28, 2020",$5.597,$6.446,$5.426,$6.256,"$17,173,561,815","$28,370,848,654"
"nov. 27, 2020",$5.334,$5.859,$5.087,$5.593,"$18,713,160,692","$25,361,792,213"
"nov. 26, 2020",$6.349,$6.497,$4.621,$5.330,"$23,673,915,793","$24,171,460,090"
"nov. 25, 2020",$6.922,$7.199,$5.965,$6.355,"$23,569,614,498","$28,818,036,071"
"nov. 24, 2020",$6.142,$7.680,$5.779,$6.921,"$32,826,193,388","$31,385,647,148"
"nov. 23, 2020",$4.437,$6.150,$4.347,$6.140,"$20,715,303,968","$27,842,882,655"
"nov. 22, 2020",$4.583,$4.919,$4.133,$4.437,"$19,097,682,286","$20,112,122,024"
"nov. 21, 2020",$3.281,$4.631,$3.281,$4.583,"$16,206,296,041","$20,775,895,361"
"nov. 20, 2020",$3.038,$3.294,$2.982,$3.281,"$6,283,633,942","$14,870,727,963"
"nov. 19, 2020",$2.942,$3.065,$2.846,$3.038,"$5,230,574,728","$13,769,136,634"
"nov. 18, 2020",$3.024,$3.073,$2.838,$2.942,"$5,684,799,554","$13,336,525,350"
"nov. 17, 2020",$2.918,$3.044,$2.911,$3.024,"$6,002,566,535","$13,707,610,374"
"nov. 16, 2020",$2.696,$2.880,$2.681,$2.855,"$4,105,697,051","$12,942,110,144"
"nov. 15, 2020",$2.683,$2.766,$2.646,$2.696,"$3,613,774,298","$12,222,354,606"
"nov. 14, 2020",$2.652,$2.770,$2.625,$2.683,"$4,433,908,911","$12,163,467,828"
"nov. 13, 2020",$2.549,$2.657,$2.541,$2.652,"$2,989,109,717","$12,020,596,204"
"nov. 12, 2020",$2.563,$2.581,$2.528,$2.549,"$2,443,233,108","$11,550,299,326"
"nov. 11, 2020",$2.539,$2.597,$2.528,$2.563,"$2,811,079,099","$11,611,751,579"
"nov. 10, 2020",$2.508,$2.643,$2.487,$2.539,"$3,488,798,458","$11,505,347,387"
