Date, Close/Last, Volume, Open, High, Low
09/25/2020, $3095.13, 4615202, $3054.86, $3101.54, $2999
09/24/2020, $3019.79, 5529392, $2977.79, $3069.3, $2965
09/23/2020, $2999.86, 5652665, $3120.43, $3126.999, $2992.3759
09/22/2020, $3128.99, 6948816, $3033.835, $3133.99, $3000.2
09/21/2020, $2960.47, 6117925, $2906.5, $2962, $2871
09/18/2020, $2954.91, 8892580, $3031.74, $3037.8, $2905.54
09/17/2020, $3008.73, 6449050, $3009.25, $3029.432, $2972.55
09/16/2020, $3078.1, 4531189, $3179.99, $3187.238, $3074.15
09/15/2020, $3156.13, 4021535, $3136.16, $3175.02, $3108.92
09/14/2020, $3102.97, 4529596, $3172.937, $3187.39, $3096
09/11/2020, $3116.22, 5093982, $3208.69, $3217.3409, $3083.98
09/10/2020, $3175.11, 5330741, $3307.219, $3349.89, $3170.55
09/09/2020, $3268.61, 5188675, $3202.99, $3303.175, $3185
09/08/2020, $3149.84, 6094205, $3144, $3250.845, $3130
09/04/2020, $3294.62, 8781754, $3318, $3381.5, $3111.13
09/03/2020, $3368, 8161113, $3485, $3488.41, $3303
09/02/2020, $3531.45, 3931476, $3547, $3552.25, $3486.685
09/01/2020, $3499.12, 3476407, $3489.58, $3513.87, $3467
08/31/2020, $3450.96, 4185885, $3408.99, $3495, $3405
08/28/2020, $3401.8, 2896978, $3423, $3433.3699, $3386.5
08/27/2020, $3400, 4264795, $3450.05, $3453, $3378
08/26/2020, $3441.85, 6508743, $3351.11, $3451.7387, $3344.5675
